Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
attIntellectRank6LongDesc,progression,Attribute,,,,"You are now getting pretty smart. Smart enough to deal 250% head shot damage and have a 30% chance to dismember with Wild West Scrap Spitters, Cosh Spitters, and Gatling Turrets.",,,,,,,,,,,,,
attIntellectRank7LongDesc,progression,Attribute,,,,"Your peers consider you brilliant. Deal 260% head shot damage and have a 35% chance to dismember with Wild West Scrap Spitters, Cosh Spitters, and Gatling Turrets.",,,,,,,,,,,,,
attIntellectRank8LongDesc,progression,Attribute,,,,"Your Brainz are quite impressive. You can deal 270% head shot damage and have a 40% chance to dismember with Wild West Scrap Spitters, Cosh Spitters, and Gatling Turrets.",,,,,,,,,,,,,
attIntellectRank9LongDesc,progression,Attribute,,,,"You are now a true genius. Deal 285% head shot damage and have a 45% chance to dismember with Wild West Scrap Spitters, Cosh Spitters, and Gatling Turrets.",,,,,,,,,,,,,

craftingMachineGunsDesc,progression,Attribute,,,,Reading [DECEA3]Tactical Warfare[-] will increase the quality of crafted gatlings guns.\nBoost loot odds with [DECEA3]Gatling Gunner[-],,,,,,,,,,,,,
vehiclesT2,progression,Attribute,,,,Tier 2: Steam Velocipede,,,,,,,,,,,,,
vehiclesT4,progression,Attribute,,,,Tier 4: Steam Horse,,,,,,,,,,,,,
vehiclesT5,progression,Attribute,,,,Tier 5: Balloon,,,,,,,,,,,,,
craftingVehiclesDesc,progression,Attribute,,,,Reading [DECEA3]Vehicle Adventures[-] will unlock various tiers of vehicles.\nBoost loot odds with [DECEA3]Mechanic[-],,,,,,,,,,,,,
roboticsSkillMagazine,items,Robotics,,,,Spitter n Gatling Turret Inventor,,,,,,,,,,,,,
roboticsSkillMagazineDesc,items,Robotics,,,,"Learn to create scrap spitters, cosh spitters, and gatling turrets and be the envy of your peers!\n\nImproves scrap spitter, cosh spitter, and gatling turret crafting skill.",,,,,,,,,,,,,
craftingRoboticsDesc,progression,Attribute,,,,"Reading [DECEA3]Spitter n Gatling Turret Inventor[-] will increase the quality of scrap spitters, cosh spitters, and gatling turrets. Boost loot odds\nwith [DECEA3]Spitter n Gatling Turret Inventor[-]",,,,,,,,,,,,,
craftingRoboticsName,progression,Attribute,,,,Spitter n Gatling Turret Inventor,,,,,,,,,,,,,
explosivesT3-1,progression,Attribute,,,,Tier 3: Timed Dynamite (Ammo),,,,,,,,,,,,,
explosivesT3-3,progression,Attribute,,,,Tier 3: Kerosene Boom Barrel,,,,,,,,,,,,,

perkWasteTreasuresAcidDesc,progression,perk  book,,,,"Adds a chance to harvest acid from wagons and medical equipment.",,,,,,,,,,,,,
perkWasteTreasuresAcidLongDesc,progression,perk  book,,,,"Acid: Acid is an extremely rare and powerful crafting agent. I figured out this tip to sometimes harvest a little from wagons and medical equipment. Adds a chance to harvest acid from wagons, medical equipment and acid barrels.",,,,,,,,,,,,,
perkLuckyLooterDukesDesc,progression,perk  book,,,,"Find more liberty coints in loot.",,,,,,,,,,,,,
perkLuckyLooterDukesLongDesc,progression,perk  book,,,,"Liberty Coins: If you know where to look, you can find money just laying around. Find more liberty coins in loot.",,,,,,,,,,,,,

perkArcheryRank1Desc,progression,perk Agi,,,,Hunter,,,,,,,,,,,,,
perkArcheryRank1LongDesc,progression,perk Agi,,,,"Many start on the path of the supreme warrior but few can reach it. Deal 10% more damage, 10% faster aim, draw and reload with bows.\nFind more bows and parts in loot.",,,,,,,,,,,,,
perkArcheryRank2Desc,progression,perk Agi,,,,Good Hunter,,,,,,,,,,,,,
perkArcheryRank2LongDesc,progression,perk Agi,,,,"Your archery skills are improving. Deal 20% more damage, 20% faster aim, draw and reload with bows.\nFind more bows and parts in loot.",,,,,,,,,,,,,
perkArcheryRank3Desc,progression,perk Agi,,,,Warrior,,,,,,,,,,,,,
perkArcheryRank3LongDesc,progression,perk Agi,,,,"All the rigorous training has turned you into a warrior. Deal 30% more damage, 30% faster aim, draw and reload with bows.\nFind more bows and parts in loot.",,,,,,,,,,,,,
perkArcheryRank4Desc,progression,perk Agi,,,,Good Warrior,,,,,,,,,,,,,
perkArcheryRank4LongDesc,progression,perk Agi,,,,"Your archery skills allow you to flourish in battle and while hunting. Deal 40% more damage, 40% faster aim, draw and reload with bows.\nFind more bows and parts in loot.",,,,,,,,,,,,,
perkArcheryRank5Desc,progression,perk Agi,,,,Supreme Warrior,,,,,,,,,,,,,
perkArcheryRank5LongDesc,progression,perk Agi,,,,"You have mastered archery and are now a supreme warrior. Deal 50% more damage, 50% faster aim, draw and reload with bows.\nFind more bows and parts in loot.",,,,,,,,,,,,,
perkMasterChefRank2LongDesc,progression,perk Str,,,,"Don’t let good food go to waste!\nAdds a chance to find salvageable food in dumps.\nCook 60% faster.",,,,,,,,,,,,,
perkMiner69rRank1LongDesc,progression,perk Str,,,,"Everyone has to start somewhere. Increase tool damage by 10% and block damage by 30% with any axe, pick, shovel, or tomahawk.",,,,,,,,,,,,,
perkMiner69rRank2LongDesc,progression,perk Str,,,,"You are still a little green but you aren't fetching the muckmen blackstrap any more. Increase tool damage by 20% and block damage by 60% with any axe, pick, shovel, or tomahawk.",,,,,,,,,,,,,
perkMiner69rRank3LongDesc,progression,perk Str,,,,"You are now a professional miner or what they called muckmen back in the day. Increase tool damage by 30% and block damage by 90% with any axe, pick, shovel, or tomahawk.",,,,,,,,,,,,,
perkMiner69rRank4LongDesc,progression,perk Str,,,,"You can crack rock with the best of them now. Increase tool damage by 40% and block damage by 120% with any axe, pick, shovel, or tomahawk.",,,,,,,,,,,,,
perkMiner69rRank5LongDesc,progression,perk Str,,,,"You are the legendary Miner 69'r and can find the juicy center of any rock faster than a horny bullfrog. Increase damage by 50% and block damage by 150% with any axe, pick, shovel, or tomahawk.",,,,,,,,,,,,,
perkMotherLodeRank1LongDesc,progression,perk Str,,,,"You've found your first small vein and are envy of all the Johnny Newcomes.\nHarvest 20% more from ore, stone, terrain blocks and trees with any axe, pick, shovel, or tomahawk.",,,,,,,,,,,,,
perkMotherLodeRank2LongDesc,progression,perk Str,,,,"Finding more ore is starting to become second nature to you. Harvest 40% more from ore, stone, terrain blocks and trees with any axe, pick, shovel, or tomahawk.",,,,,,,,,,,,,
perkMotherLodeRank3LongDesc,progression,perk Str,,,,"You've hit your stride and can probably make a decent living at this. Harvest 60% more from ore, stone, terrain blocks and trees with any axe, pick, shovel, or tomahawk.",,,,,,,,,,,,,
perkMotherLodeRank4LongDesc,progression,perk Str,,,,"You are going to need an Irish baby buggy to carry all this ore. Harvest 80% more from ore, stone, terrain blocks and trees with any axe, pick, shovel, or tomahawk.",,,,,,,,,,,,,
perkMotherLodeRank5LongDesc,progression,perk Str,,,,"Mining is second nature to you and you find the mother lode everywhere you go. Harvest 100% more from ore, stone, terrain blocks and trees with any axe, pick, shovel, or tomahawk.",,,,,,,,,,,,,
perkPackMuleRank1LongDesc,progression,perk Str,,,,"Who has time to organize their stuff perfectly? Carry four more items without being encumbered.",,,,,,,,,,,,,
perkPackMuleRank2LongDesc,progression,perk Str,,,,"You know it's in there somewhere. Carry an additional four more items without being encumbered.",,,,,,,,,,,,,
perkPummelPeteDesc,progression,perk Str,,,,Specialize in knocking your foes senseless with clubs and kitchen tools.,,,,,,,,,,,,,
perkFlurryOfBlowsRank1LongDesc,progression,perk Agi,,,,"You have developed quick hands. One-handed melee attack speeds are increased by 10%.\n\nThis perk applies to clubs, brawling, knives, and machetes.",,,,,,,,,,,,,

perkGunslingerDesc,progression,perk Agi,,,,"Settle your disputes the Wild West way and be a gunslinger. Master the use of revolvers.",,,,,,,,,,,,,
perkGunslingerRank1LongDesc,progression,perk Agi,,,,"You're better than the average settler. Deal 10% more damage, 5% faster fire rate, and 15% faster reload with revolvers.",,,,,,,,,,,,,
perkGunslingerRank2LongDesc,progression,perk Agi,,,,"You are making a name for yourself, outlaw. Deal 20% more damage, 10% faster fire rate, and reload 30% faster with revolvers.",,,,,,,,,,,,,
perkGunslingerRank3LongDesc,progression,perk Agi,,,,"You can keep most situations under control, sheriff. Deal 30% more damage, 15% faster fire rate, and reload 45% faster. Critical Damage: 5 successive hits in a short time cause critical damage.",,,,,,,,,,,,,
perkGunslingerRank4LongDesc,progression,perk Agi,,,,"You're now a gunfighter and can clear out a saloon full of rowdy bastards at the drop of a hat. Deal 40% more damage, 20% faster fire rate, and reload 60% faster. Critical Damage: 4 successive hits in a short time cause the last shot to do 100% extra damage.",,,,,,,,,,,,,
perkGunslingerRank5LongDesc,progression,perk Agi,,,,"You are the fastest gunslinger in the Wild West. Deal 50% more damage, 25% faster fire rate, and 75% faster reload with revolvers. Critical Damage: 3 successive hits in a short time cause the last shot to do 100% extra damage.",,,,,,,,,,,,,
perkMachineGunnerDesc,progression,perk For,,,,"Become a gatling gunner using the Gatling Prototype to slay your foes.",,,,,,,,,,,,,
perkMachineGunnerName,progression,perk For,,,,Gatling Gunner,,,,,,,,,,,,,
perkMachineGunnerRank1Desc,progression,perk For,,,,Gatling Grunt,,,,,,,,,,,,,
perkMachineGunnerRank1LongDesc,progression,perk For,,,,"Spray and Pray is your thing. Deal 10% more damage, 5% faster fire rate and 10% faster reload.",,,,,,,,,,,,,
perkMachineGunnerRank2Desc,progression,perk For,,,,Gatling Guerrilla,,,,,,,,,,,,,
perkMachineGunnerRank2LongDesc,progression,perk For,,,,"You are no commando, but you do what it takes to get the job done. Deal 20% more damage, 10% faster fire rate and 15% faster reload.",,,,,,,,,,,,,
perkMachineGunnerRank3Desc,progression,perk For,,,,Gatling Soldier,,,,,,,,,,,,,
perkMachineGunnerRank3LongDesc,progression,perk For,,,,"Unlock the Gatling Prototype. All the combat has sharpened your skills and you are now a soldier. Deal 30% more damage, 15% faster fire rate and reload 20% faster. Commando Adrenaline: Each shot scored with the gatling prototype gun gives you 2 stamina.",,,,,,,,,,,,,
perkMachineGunnerRank4Desc,progression,perk For,,,,Gatling Special Forces,,,,,,,,,,,,,
perkMachineGunnerRank4LongDesc,progression,perk For,,,,"Your skill now matches the special forces. Deal 40% more damage, 20% faster fire rate and reload 25% faster. Commando Adrenaline: Each shot scored with the gatling prototype gun gives you 4 stamina.",,,,,,,,,,,,,
perkMachineGunnerRank5Desc,progression,perk For,,,,Ultimate Gatling Gunner,,,,,,,,,,,,,
perkMachineGunnerRank5LongDesc,progression,perk For,,,,"You are now the ultimate gatling gunner. Deal 50% more damage, 25% faster fire rate and reload 30% faster. Commando Adrenaline: Each shot scored with the gatling prototype gun gives you 6 stamina.",,,,,,,,,,,,,
perkRuleOneCardioName,progression,perk For,,,,Fit as a Horse,,,,,,,,,,,,,
perkRuleOneCardioNameRank1Desc,progression,perk For,,,,Jog,,,,,,,,,,,,,
perkRuleOneCardioNameRank2Desc,progression,perk For,,,,Trot,,,,,,,,,,,,,
perkRuleOneCardioNameRank3Desc,progression,perk For,,,,Lope,,,,,,,,,,,,,
perkRuleOneCardioNameRank4Desc,progression,perk For,,,,Canter,,,,,,,,,,,,,
perkRuleOneCardioNameRank5Desc,progression,perk For,,,,Gallop,,,,,,,,,,,,,
perkDaringAdventurerRank1LongDesc,progression,perk Int,,,,"Risking your neck every day has its advantages.\nGain access to better trader items and get 5% more Liberty coins.",,,,,,,,,,,,,
perkDaringAdventurerRank2LongDesc,progression,perk Int,,,,"The traders know you can get the job done, plunderer.\nGain access to even better trader items and get 10% more Liberty coins.",,,,,,,,,,,,,
perkDaringAdventurerRank3LongDesc,progression,perk Int,,,,"You've made a name for yourself as a mercenary for hire.\nGain access to better trader items and get 15% more Liberty coins.",,,,,,,,,,,,,
perkDaringAdventurerRank4LongDesc,progression,perk Int,,,,"You are the daring adventurer!\nGain access to better trader items and get 20% more Liberty coins.\nPick two quest rewards for your daring efforts.",,,,,,,,,,,,,
perkAdvancedEngineeringRank1LongDesc,progression,perk Int,,,,"You are now out of the stone age and an apprentice Engineer!\nItems craft 20% faster at the forge.\nCraft glue cheaper.",,,,,,,,,,,,,
perkAdvancedEngineeringRank2LongDesc,progression,perk Int,,,,"The long hours tinkering on projects is starting to pay dividends!\nItems craft 20% faster at workbenches and cement mixers.",,,,,,,,,,,,,
perkAdvancedEngineeringRank3LongDesc,progression,perk Int,,,,"You really know your way around the workshop and can build about anything you set your mind to!\nAll forge recipes cost 10% less, crafting Forged Steel costs 15% less.",,,,,,,,,,,,,
perkAdvancedEngineeringRank4LongDesc,progression,perk Int,,,,"You are the da Vinci of the Wild West with all your amazing inventions!\nAll forge recipes cost 15% less, crafting Forged Steel costs 25% less.",,,,,,,,,,,,,
perkAdvancedEngineeringRank5LongDesc,progression,perk Int,,,,"You are now an Advanced Engineer and would make MacDyver jealous.\nAll forge recipes cost 20% less, crafting Forged Steel costs 35% less.",,,,,,,,,,,,,
perkGreaseMonkeyDesc,progression,perk Int,,,,"Learn to build bicycles, and other items in the Wild West. Once you get good at that, the sky's the limit.",,,,,,,,,,,,,
perkGreaseMonkeyName,progression,perk Int,,,,Mechanic,,,,,,,,,,,,,
perkGreaseMonkeyRank1Desc,progression,perk Int,,,,Two Wheeler Dealer,,,,,,,,,,,,,
perkGreaseMonkeyRank1LongDesc,progression,perk Int,,,,"Your passion to tinker and not walk everywhere has led you on the path of the bicycle mechanic. Craft wheels and bicycle parts 33% cheaper.\nRepair kits are 10 percent more effective on vehicles.",,,,,,,,,,,,,
perkGreaseMonkeyRank2Desc,progression,perk Int,,,,Kerosene Kid,,,,,,,,,,,,,
perkGreaseMonkeyRank2LongDesc,progression,perk Int,,,,"Repair kits are 20 percent more effective on vehicles.",,,,,,,,,,,,,
perkGreaseMonkeyRank3Desc,progression,perk Int,,,,Steamroller,,,,,,,,,,,,,
perkGreaseMonkeyRank3LongDesc,progression,perk Int,,,,"Repair kits are 30 percent more effective on vehicles.",,,,,,,,,,,,,
perkGreaseMonkeyRank4Desc,progression,perk Int,,,,Track Stacker,,,,,,,,,,,,,
perkGreaseMonkeyRank4LongDesc,progression,perk Int,,,,"Repair kits are 40 percent more effective on vehicles.",,,,,,,,,,,,,
perkGreaseMonkeyRank5Desc,progression,perk Int,,,,"Up, Up, and Away!",,,,,,,,,,,,,
perkGreaseMonkeyRank5LongDesc,progression,perk Int,,,,"Repair kits are 50 percent more effective on vehicles.",,,,,,,,,,,,,
perkPhysicianRank4LongDesc,progression,perk Int,,,,"Your medical knowledge makes removing limbs a breeze!",,,,,,,,,,,,,
perkPhysicianRank5LongDesc,progression,perk Int,,,,"Use your knowledge of medicine to save lives, or end them.",,,,,,,,,,,,,
perkTurretsDesc,progression,perk Int,,,,"You are fascinated with experimental mechanisms. Learn to use Wild West Scrap Spitters, Cosh Spitters, and Gatling Turrets.",,,,,,,,,,,,,
perkTurretsName,progression,perk Int,,,,Great Gatspit Inventor,,,,,,,,,,,,,
perkTurretsRank1Desc,progression,perk Int,,,,Basic Gatspit,,,,,,,,,,,,,
perkTurretsRank1LongDesc,progression,perk Int,,,,"You have some crazy innovative ideas but your implementation could use some work. Deal 10% more damage, 30% faster fire rate and reload an extra 10 rounds. Wild West Scrap Spitters' and Gatling Turrets' active range is increased from 10 to 14 meters.\nYou can deploy multiple Wild West Scrap Spitters or Gatling Turrets but only the closest will be active. Cosh Spitters do what they do but better.",,,,,,,,,,,,,
perkTurretsRank2Desc,progression,perk Int,,,,Gatspit Habit,,,,,,,,,,,,,
perkTurretsRank2LongDesc,progression,perk Int,,,,"You are taking your projects to the next level now. Deal 20% more damage, 60% faster fire rate and reload an extra 20 rounds. Wild West Scrap Spitters' and Gatling Turrets' active range is 15 meters. Cosh Spitters are charging ahead.",,,,,,,,,,,,,
perkTurretsRank3Desc,progression,perk Int,,,,Gatspit Upgrades,,,,,,,,,,,,,
perkTurretsRank3LongDesc,progression,perk Int,,,,"You have mastered the basics of gyroscopics. Deal 30% more damage, 90% faster fire rate and reload an extra 30 rounds. Wild West Scrap Spitters' and Gatling Turrets' active range is 16 meters. Cosh Spitters are sizzling.",,,,,,,,,,,,,
perkTurretsRank4Desc,progression,perk Int,,,,Gatspitter,,,,,,,,,,,,,
perkTurretsRank4LongDesc,progression,perk Int,,,,"You must be from the year 1955. You are creating some futuristic technology. Deal 40% more damage, 120% faster fire rate and reload an extra 40 rounds. Reload Wild West Scrap Spitter and Gatling Turret weapons 10% faster. Wild West Scrap Spitters' and Gatling Turrets' active range is 17 meters. Cosh Spitters are super charged.",,,,,,,,,,,,,
perkTurretsRank5Desc,progression,perk Int,,,,Great Gatspit,,,,,,,,,,,,,
perkTurretsRank5LongDesc,progression,perk Int,,,,"You are now a top expert in Wild West Scrap Spitters and Gatling Turrets. Reload 20% faster and reload an extra 50 rounds. Wild West Scrap Spitters' and Gatling Turrets' active range is 18 meters.\nTwo deployed Wild West Scrap Spitters or Gatling Turrets can be active at once. Cosh Spitters are like lightning.",,,,,,,,,,,,,
perkFlurryOfIntellectDesc,progression,perk Int,,,,"Use your brainz to determine the shortest trajectory to the target and effectively increase your attack speed with cosh spitters!",,,,,,,,,,,,,
perkFlurryOfIntellectName,progression,perk Int,,,,Calculated Attack,,,,,,,,,,,,,
perkFlurryOfIntellectRank1Desc,progression,perk Int,,,,Finger Counting,,,,,,,,,,,,,
perkFlurryOfIntellectRank1LongDesc,progression,perk Int,,,,"It's as simple as basic math.\nAttack speeds with cosh spitters are 10% faster.",,,,,,,,,,,,,
perkFlurryOfIntellectRank2Desc,progression,perk Int,,,,Adds Up,,,,,,,,,,,,,
perkFlurryOfIntellectRank2LongDesc,progression,perk Int,,,,"You see even quicker routes to success.\nAttack speeds with cosh spitters are 17% faster.",,,,,,,,,,,,,
perkFlurryOfIntellectRank3Desc,progression,perk Int,,,,Number Cruncher,,,,,,,,,,,,,
perkFlurryOfIntellectRank3LongDesc,progression,perk Int,,,,"You see the outcome before it happens and use your enemies movements against them.\nAttack speeds with cosh spitters are 25% faster.",,,,,,,,,,,,,
perkWildWestExperienceDesc,progression,perk Int,,,,This skill allows players to hone their skills at a quicker rate as XP is gained faster.,,,,,,,,,,,,,
perkWildWestExperienceName,progression,perk Int,,,,Wild West Experience,,,,,,,,,,,,,
perkWildWestExperienceRank1Desc,progression,perk Int,,,,Keen Eye,,,,,,,,,,,,,
perkWildWestExperienceRank1LongDesc,progression,perk Int,,,,"Observe your peers and pick things up quicker than usual. Gain +20% XP.",,,,,,,,,,,,,
perkWildWestExperienceRank2Desc,progression,perk Int,,,,Apprentice,,,,,,,,,,,,,
perkWildWestExperienceRank2LongDesc,progression,perk Int,,,,"A kindly old hermit shows you the ropes. Gain +40% XP.",,,,,,,,,,,,,
perkWildWestExperienceRank3Desc,progression,perk Int,,,,Grafter Crafter,,,,,,,,,,,,,
perkWildWestExperienceRank3LongDesc,progression,perk Int,,,,"Years of practice makes new skills come easier to you. Gain +60% XP.",,,,,,,,,,,,,
perkWildWestExperienceRank4Desc,progression,perk Int,,,,Skilled Settler,,,,,,,,,,,,,
perkWildWestExperienceRank4LongDesc,progression,perk Int,,,,"Everything you touch can be put to good use. Gain +80% XP.",,,,,,,,,,,,,
perkWildWestExperienceRank5Desc,progression,perk Int,,,,Legendary Innovator,,,,,,,,,,,,,
perkWildWestExperienceRank5LongDesc,progression,perk Int,,,,"Your experience is of great benefit to the community. Gain +100% XP.",,,,,,,,,,,,,
perkLockPickingName,progression,perk Per,,,,Wild West Lock Picking,,,,,,,,,,,,,
perkLockPickingRank1Desc,progression,perk Per,,,,Apple Picker,,,,,,,,,,,,,
perkLockPickingRank1LongDesc,progression,perk Per,,,,"Apple Picker! You are starting to get the basics, for the most part, but would do just as well down on the ranch orchard. You can pick locks a little faster and have a 25% lower chance to break lockpicks.",,,,,,,,,,,,,
perkLockPickingRank2Desc,progression,perk Per,,,,Slick Locksmith,,,,,,,,,,,,,
perkLockPickingRank2LongDesc,progression,perk Per,,,,"You are now a slick locksmith and few locks will keep you out, with perseverance. You can pick locks faster and have a 50% lower chance to break lockpicks.",,,,,,,,,,,,,
perkLockPickingRank3Desc,progression,perk Per,,,,Master Locksmith,,,,,,,,,,,,,
perkLockPickingRank3LongDesc,progression,perk Per,,,,"You are now a world class master lock picker. Banks far and wide shiver at your name. Pick locks much faster and have a 75% lower chance to break lockpicks.",,,,,,,,,,,,,
perkSalvageOperationsDesc,progression,perk Per,,,,"Waste not, want not! Salvage items for more resources with a wrench or ratchet.",,,,,,,,,,,,,
perkSalvageOperationsRank1LongDesc,progression,perk Per,,,,"Who knows what useful items can be found when tearing things apart? Salvage tools deal 10% more damage, harvest 20% faster, and gain 20% more resources with a wrench or ratchet. Stamina costs are reduced by 8% and 15% for power attacks. Find more salvage tools and parts in loot.",,,,,,,,,,,,,
perkSalvageOperationsRank2LongDesc,progression,perk Per,,,,"Most people call you “Scavver”, but at least it's an honest living. Salvage tools deal 20% more damage, harvest 40% faster, and gain 40% more resources with a wrench or ratchet. Stamina costs are reduced by 15% and 30% for power attacks. Find more salvage tools and parts in loot.",,,,,,,,,,,,,
perkSalvageOperationsRank3LongDesc,progression,perk Per,,,,"You have a knack for salvaging more useful parts than the average scrapper. Salvage tools deal 30% more damage, harvest 60% faster, and gain 60% more resources with a wrench or ratchet. Stamina costs are reduced by 20% and 40% for power attacks. Find more salvage tools and parts in loot.",,,,,,,,,,,,,
perkSalvageOperationsRank4LongDesc,progression,perk Per,,,,"Your ability to gather salvaged parts is remarkable. Salvage tools deal 40% more damage, harvest 80% faster, and gain 80% more resources with a wrench or ratchet. Stamina costs are reduced by 25% and 50% for power attacks. Find more salvage tools and parts in loot.",,,,,,,,,,,,,
perkSalvageOperationsRank5LongDesc,progression,perk Per,,,,"You're king of the junk dealers and envy of the grease monkeys of the apocalypse. Salvage tools deal 50% more damage, harvest 100% faster, and gain 100% more resources with a wrench or ratchet. Find more salvage tools and parts in loot.",,,,,,,,,,,,,
perkBoomstickRank1LongDesc,progression,perk Str,,,,"Maybe your aim isn't so good or you just like doing a lot of damage up close and personal. Either way a hobo with a shotgun is not to be messed with. Deal 10% more damage, 10% faster fire rate, and 20% faster reload. Stun enemies for 6 seconds.\nIncreases chance to dismember by 5%.",,,,,,,,,,,,,
perkBoomstickRank2LongDesc,progression,perk Str,,,,"Roaming the wastelands as a nomad have improved your abilities with shotguns. Deal 20% more damage, 20% faster fire rate, and 30% faster reload.\nIncreases chance to dismember by 10%.",,,,,,,,,,,,,
perkBoomstickRank3LongDesc,progression,perk Str,,,,"If shotgun meets were still a thing, you'd be hitting those clay ducks and be considered a shotgun pro. Deal 30% more damage, 30% faster fire rate, and 40% faster reload. Stun enemies for 8 seconds.",,,,,,,,,,,,,
perkBoomstickRank4LongDesc,progression,perk Str,,,,"You are now very deadly with a shotgun and considered a shotgun master and master of the shotgun. Deal 40% more damage, 40% faster fire rate, and 50% faster reload.",,,,,,,,,,,,,
perkBoomstickRank5LongDesc,progression,perk Str,,,,"You've ascended to the legendary status of Shotgun Messiah, as you are the last thing they see before meeting their maker. Deal 50% more damage, 50% faster fire rate, and a 60% faster reload.\nLegs shots cripple opponents.",,,,,,,,,,,,,
perkSkullCrusherDesc,progression,perk Str,,,,"Specialize in destroying enemies and structures with Sledgehammers, Blacksmith's hammers, and Railroad pin hammers.",,,,,,,,,,,,,
reqIntellectLevel01,progression,Attribute,,,,Brainz Level 1,,,,,,,,,,,,,
reqIntellectLevel02,progression,Attribute,,,,Brainz Level 2,,,,,,,,,,,,,
reqIntellectLevel03,progression,Attribute,,,,Brainz Level 3,,,,,,,,,,,,,
reqIntellectLevel04,progression,Attribute,,,,Brainz Level 4,,,,,,,,,,,,,
reqIntellectLevel05,progression,Attribute,,,,Brainz Level 5,,,,,,,,,,,,,
reqIntellectLevel06,progression,Attribute,,,,Brainz Level 6,,,,,,,,,,,,,
reqIntellectLevel07,progression,Attribute,,,,Brainz Level 7,,,,,,,,,,,,,
reqIntellectLevel08,progression,Attribute,,,,Brainz Level 8,,,,,,,,,,,,,
reqIntellectLevel09,progression,Attribute,,,,Brainz Level 9,,,,,,,,,,,,,
reqIntellectLevel10,progression,Attribute,,,,Brainz Level 10,,,,,,,,,,,,,
harvestToolsCrystalSteel,progression,Attribute,,,,Crystal Steel Tools,,Werkzeuge aus Kristallstahl,Herramientas de acero Crystal,Herramientas de acero Crystal,Strumenti in acciaio cristallino,結晶鉄鋼製ツール,크리스탈 스틸 도구,Narzędzia Crystal Steel,Ferramentas de aço cristal,Инструменты из кристальной стали,Kristal Çelik Aletler,晶钢工具,晶鋼工具

perkPerceptionMasteryRank1LongDesc,progression,perk Per,,,,"Harvest liberty coins and continental banknotes from cushioned seating, beds, suitcases, and clothing piles.",,,,,,,,,,,,,
perkPerceptionMasteryRank2LongDesc,progression,perk Per,,,,"Harvest steel from wagons and gun safes.",,,,,,,,,,,,,
perkJunkMinerRank1LongDesc,progression,perk Str,,,,"Gain 20% more resources from mining junk such as cloth.",,,,,,,,,,,,,
perkJunkMinerRank2LongDesc,progression,perk Str,,,,"Gain 40% more resources from mining junk such as cloth.",,,,,,,,,,,,,
perkJunkMinerRank3LongDesc,progression,perk Str,,,,"Gain 60% more resources from mining junk such as cloth.",,,,,,,,,,,,,
perkJunkMinerRank4LongDesc,progression,perk Str,,,,"Gain 80% more resources from mining junk such as cloth.",,,,,,,,,,,,,
perkJunkMinerRank5LongDesc,progression,perk Str,,,,"Gain 100% more resources from mining junk such as cloth.",,,,,,,,,,,,,
perkIntellectMasteryRank4LongDesc,progression,perk Int,,,,Cosh Spitters only take 2 hits to charge.,,,,,,,,,,,,,
perkIntellectMasteryRank5Desc,progression,perk Int,,,,Cosh Spitter Master,,,,,,,,,,,,,
perkIntellectMasteryRank5LongDesc,progression,perk Int,,,,Cosh Spitter charge is always ready.,,,,,,,,,,,,,

zombieBiker,entityclasses,Entity,,,,Gambler,,,,,,,,,,,,,
zombieBikerCharged,entityclasses,Entity,,,,Charged Gambler,,,,,,,,,,,,,
zombieBikerFeral,entityclasses,Entity,,,,Feral Gambler,,,,,,,,,,,,,
zombieBikerInfernal,entityclasses,Entity,,,,Infernal Gambler,,,,,,,,,,,,,
zombieBikerRadiated,entityclasses,Entity,,,,Radiated Gambler,,,,,,,,,,,,,
zombieFatCop,entityclasses,Entity,,,,Sheriff,,,,,,,,,,,,,
zombieFatCopCharged,entityclasses,Entity,,,,Charged Sheriff,,,,,,,,,,,,,
zombieFatCopFeral,entityclasses,Entity,,,,Feral Sheriff,,,,,,,,,,,,,
zombieFatCopInfernal,entityclasses,Entity,,,,Infernal Sheriff,,,,,,,,,,,,,
zombieFatCopRadiated,entityclasses,Entity,,,,Radiated Sheriff,,,,,,,,,,,,,
zombieLab,entityclasses,Entity,,,,Apothecary Medusa,,,,,,,,,,,,,
zombieLabCharged,entityclasses,Entity,,,,Charged Apothecary Medusa,,,,,,,,,,,,,
zombieLabFeral,entityclasses,Entity,,,,Feral Apothecary Medusa,,,,,,,,,,,,,
zombieLabInfernal,entityclasses,Entity,,,,Infernal Apothecary Medusa,,,,,,,,,,,,,
zombieLabRadiated,entityclasses,Entity,,,,Radiated Apothecary Medusa,,,,,,,,,,,,,
zombiePartyGirl,entityclasses,Entity,,,,Saloon Owner Tabby,,,,,,,,,,,,,
zombiePartyGirlCharged,entityclasses,Entity,,,,Charged Saloon Owner Christy,,,,,,,,,,,,,
zombiePartyGirlFeral,entityclasses,Entity,,,,Feral Saloon Owner Peggy,,,,,,,,,,,,,
zombiePartyGirlInfernal,entityclasses,Entity,,,,Infernal Saloon Owner,,,,,,,,,,,,,
zombiePartyGirlRadiated,entityclasses,Entity,,,,Radiated Saloon Owner Shots,,,,,,,,,,,,,
animalHorseKiller,entityclasses,Entity,,,,Zombie Horse,,,,,,,,,,,,,
